id,artist,title,release_date,popularity,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5vjigjfoXuJEttqLB3HTAg,Lloyd Price,Personality,1994-01-01,51,50,0.591,0.454,5,-8.936,1,0.0322,0.744,0.0,0.0989,0.865,128.909
50meIWPMuhYgQSXfSsUvtI,The Spaniels,"Goodnite, It's Time to Go (Goodnight Sweetheart, Goodnight)",2007-10-30,0,50,0.375,0.318,9,-9.923,0,0.0423,0.655,0.000198,0.422,0.358,76.638
39lnzOIUCSNaQmgBHoz7rt,Buddy Holly,Everyday,1958,63,50,0.747,0.219,3,-12.562,1,0.0371,0.584,2.57e-05,0.107,0.498,135.562
3koJ1vDWEITIrfMlNaHIu3,Cliff Richard & The Drifters,Living Doll - 2003 Remaster,2017-11-10,42,50,0.572,0.463,9,-7.782,1,0.0517,0.527,0.0,0.0958,0.764,62.658
1oDCK7PW72XEZ1pE5rh87A,Nat King Cole,Smile,1991-01-01,63,50,0.226,0.136,5,-19.203,0,0.0327,0.862,8.07e-06,0.302,0.263,79.37
7qoaMWT3eRCKG1RN6dVuOY,Lloyd Price,Stagger Lee,1959-01-01,49,50,0.439,0.638,3,-6.859,1,0.0307,0.707,0.0,0.175,0.781,69.57
5wJXbK6be3OUwZHrqEuuaD,Little Richard,"Good Golly, Miss Molly",2008-01-01,47,50,0.57,0.863,7,-10.82,1,0.0526,0.581,0.00412,0.313,0.909,163.837
7DH5dXVuQaqcKf9oTy9oUN,Jim Reeves,He'll Have to Go,1997-02-14,53,50,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181
5OkKOkdVTKFrYi6GWXkMzR,Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered,1958,64,50,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,0.343,128.629
7fPOOCejoBt3dIm6UcEdm8,Sam Cooke,You Send Me,1993,0,50,0.538,0.226,4,-13.817,0,0.0288,0.945,0.0,0.125,0.553,96.951
7KGbqCYWaXdJxhsuilkcwF,Buddy Holly,It Doesn't Matter Anymore,1974-01-01,0,50,0.665,0.179,7,-16.727,1,0.0367,0.806,0.0,0.189,0.856,115.203
2FkCjtQ1lYsf71s2FAS8hE,The Platters,The Great Pretender,1986-01-01,61,50,0.425,0.401,7,-9.427,1,0.0315,0.943,3.44e-06,0.072,0.531,115.71
6pPr1KLZit9FgFNhp7xE5m,Ella Fitzgerald,Cheek To Cheek,1956,0,50,0.648,0.306,0,-13.395,1,0.0883,0.588,0.0,0.252,0.661,122.027
2JoXjemDQe0fSmk26CpfrP,Bill Haley & His Comets,"Shake, Rattle And Roll - Single Version",1991-01-01,49,50,0.671,0.679,5,-11.237,1,0.142,0.159,0.0,0.158,0.82,166.722
6xNwKNYZcvgV3XTIwsgNio,Elvis Presley,Heartbreak Hotel,1958-03-21,59,50,0.696,0.21,4,-11.922,1,0.067,0.84,1.62e-06,0.107,0.717,93.543
7hxZF4jETnE5Q75rKQnMjE,Johnny Cash,I Walk the Line,1970-11-11,66,50,0.713,0.258,9,-14.59,1,0.0384,0.877,0.00606,0.0967,0.56,98.805
49vvBOlcnR3X4ArmnZMPL3,Chuck Berry,Roll Over Beethoven,1959-01-01,0,50,0.713,0.793,3,-10.138,1,0.21,0.81,0.0,0.198,0.804,92.713
3ZR0us36Z8kgBXFMYkhugR,Louis Armstrong,Summertime,1995-01-01,0,50,0.2,0.11,6,-16.646,0,0.0357,0.906,0.000153,0.0959,0.162,171.751
6wO13Xb3EdHUNixFOEJ0KV,Jerry Lee Lewis,Whole Lot of Shakin' Going On,2013-05-10,56,50,0.377,0.626,0,-9.662,1,0.033,0.832,6.46e-05,0.188,0.678,161.468
7s7Zu78CztOUFUyQ4BijBQ,Buddy Holly,Oh Boy! - Overdubbed Version,2008-01-14,48,50,0.543,0.619,9,-7.518,1,0.0377,0.777,0.0,0.109,0.846,96.842
